periodo,operador,servicio,tipo_de_ingreso,ingresos,id,anno,pais,tipo_de_mercado,concepto,tipo_de_paquete,unidades,ingresos_por_operador,empleados_por_operador,paquetes,inversiones_por_operador,gastos_por_operador
2010-01-01,Otros,Datos generales,nan,0.0,401,2010,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0.0,0.0,0.3,0.0
2010-01-01,Otros,Datos generales,nan,0.0,392,2010,España,nan,Gastos de explotación,nan,Millones de euros,0.0,0.0,0.0,0.0,38.03
2010-01-01,Otros,Datos generales,nan,0.0,2063,10050,España,nan,Gastos de explotación,nan,Millones de euros,29.520000000000003,34.0,0.0,0.16,0.03
2010-01-01,Otros,Datos generales,nan,0.0,403,2010,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0.0,0.0,45.43,0.0
2010-01-01,Otros,Datos generales,nan,0.0,1646,8040,España,nan,Gastos de explotación,nan,Millones de euros,11.14,31.0,0.0,2.12,0.88
2010-01-01,Otros,Datos generales,nan,0.0,394,2010,España,nan,Gastos de explotación,nan,Millones de euros,0.0,0.0,0.0,0.0,18.93
2010-01-01,Otros,Datos generales,nan,0.0,405,2010,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0.0,0.0,128.39,0.0
2010-01-01,Movistar,Datos generales,nan,0.0,2076,10050,España,nan,Gastos de explotación,nan,Millones de euros,19347.22,32217.0,0.0,1994.32,322.65
2010-01-01,Otros,Datos generales,nan,0.0,810,4020,España,nan,Gastos de explotación,nan,Millones de euros,0.0,3082.0,0.0,0.0,42.95
2010-01-01,Orange,Datos generales,nan,0.0,2100,10050,España,nan,Gastos de explotación,nan,Millones de euros,3847.87,3071.0,0.0,402.06,95.07
2010-01-01,Otros,Datos generales,nan,0.0,826,4020,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,6410.0,0.0,97.98,0.0
2010-01-01,Resto,Datos generales,nan,0.0,2105,10050,España,nan,Gastos de explotación,nan,Millones de euros,10398.33,26815.0,0.0,1120.74,141.46
2010-01-01,Otros,Datos generales,nan,0.0,418,2010,España,nan,Número de empleados,nan,Unidades,0.0,1716.0,0.0,0.0,0.0
2010-01-01,Vodafone,Datos generales,nan,0.0,2113,10050,España,nan,Gastos de explotación,nan,Millones de euros,6097.8,4421.0,0.0,674.72,180.16
2010-01-01,Otros,Datos generales,nan,0.0,400,2010,España,nan,Gastos de explotación,nan,Millones de euros,0.0,0.0,0.0,0.0,13.9
2010-01-01,nan,Datos generales,Alquiler de circuitos,730.66,425,2010,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Banda Ancha móvil,1687.66,440,2010,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Banda ancha fija,4010.28,439,2010,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Banda ancha fija mayorista,454.63,426,2010,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Comunicaciones de Empresa,1508.98,441,2010,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Contenidos audiovisuales,18.15,427,2010,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Interconexión fija,1693.87,428,2010,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Interconexión móvil,2658.31,429,2010,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Otros servicios mayoristas,517.25,430,2010,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Otros servicios minoristas,1572.1,442,2010,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Servicios audiovisuales,4389.5,443,2010,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Servicios de información telefónica,74.56,444,2010,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Telefonía fija,5847.16,445,2010,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Telefonía móvil,12348.63,446,2010,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Transmisión de datos,41.21,431,2010,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Transporte y difusión de la señal audiovisual,394.99,432,2010,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,Venta y alquiler de terminales,1783.94,447,2010,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2010-01-01,nan,Datos generales,nan,0.0,1263,6030,España,nan,Paquetes,Resto,Unidades,0.0,0.0,10041066.0,0.0,0.0
2011-01-01,Otros,Datos generales,nan,0.0,461,2011,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0.0,0.0,0.35,0.0
2011-01-01,Otros,Datos generales,nan,0.0,452,2011,España,nan,Gastos de explotación,nan,Millones de euros,0.0,0.0,0.0,0.0,31.23
2011-01-01,Otros,Datos generales,nan,0.0,2363,10055,España,nan,Gastos de explotación,nan,Millones de euros,49.79,52.0,0.0,0.07,0.03
2011-01-01,Otros,Datos generales,nan,0.0,463,2011,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0.0,0.0,59.71,0.0
2011-01-01,Otros,Datos generales,nan,0.0,1886,8044,España,nan,Gastos de explotación,nan,Millones de euros,13.36,39.0,0.0,2.44,1.2
2011-01-01,Otros,Datos generales,nan,0.0,454,2011,España,nan,Gastos de explotación,nan,Millones de euros,0.0,0.0,0.0,0.0,20.7
2011-01-01,Otros,Datos generales,nan,0.0,465,2011,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0.0,0.0,230.02,0.0
2011-01-01,Movistar,Datos generales,nan,0.0,2376,10055,España,nan,Gastos de explotación,nan,Millones de euros,17710.74,30298.0,0.0,2890.91,357.26
2011-01-01,Otros,Datos generales,nan,0.0,930,4022,España,nan,Gastos de explotación,nan,Millones de euros,0.0,2951.0,0.0,0.0,38.73
2011-01-01,Orange,Datos generales,nan,0.0,2400,10055,España,nan,Gastos de explotación,nan,Millones de euros,4013.19,3002.0,0.0,989.99,77.99
2011-01-01,Otros,Datos generales,nan,0.0,946,4022,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,6517.0,0.0,77.3,0.0
2011-01-01,Resto,Datos generales,nan,0.0,2405,10055,España,nan,Gastos de explotación,nan,Millones de euros,10426.39,25596.0,0.0,1082.55,147.84
2011-01-01,Otros,Datos generales,nan,0.0,478,2011,España,nan,Número de empleados,nan,Unidades,0.0,1981.0,0.0,0.0,0.0
2011-01-01,Vodafone,Datos generales,nan,0.0,2413,10055,España,nan,Gastos de explotación,nan,Millones de euros,5675.72,4392.0,0.0,573.17,86.71
2011-01-01,Otros,Datos generales,nan,0.0,460,2011,España,nan,Gastos de explotación,nan,Millones de euros,0.0,0.0,0.0,0.0,14.32
2011-01-01,nan,Datos generales,Alquiler de circuitos,741.29,485,2011,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Banda Ancha móvil,2156.3,500,2011,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Banda ancha fija,3833.72,499,2011,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Banda ancha fija mayorista,545.57,486,2011,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Comunicaciones de Empresa,1512.21,501,2011,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Contenidos audiovisuales,106.89,487,2011,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Interconexión fija,1668.22,488,2011,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Interconexión móvil,2443.24,489,2011,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Otros servicios mayoristas,553.78,490,2011,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Otros servicios minoristas,1232.41,502,2011,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Servicios audiovisuales,4018.14,503,2011,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Servicios de información telefónica,63.06,504,2011,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Telefonía fija,5372.35,505,2011,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Telefonía móvil,11305.23,506,2011,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Transmisión de datos,41.88,491,2011,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Transporte y difusión de la señal audiovisual,413.51,492,2011,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,Venta y alquiler de terminales,1881.4,507,2011,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2011-01-01,nan,Datos generales,nan,0.0,1443,6033,España,nan,Paquetes,Resto,Unidades,0.0,0.0,10565843.0,0.0,0.0
2012-01-01,Otros,Datos generales,nan,0.0,512,2012,España,nan,Gastos de explotación,nan,Millones de euros,0.0,0.0,0.0,0.0,28.28
2012-01-01,Otros,Datos generales,nan,0.0,2663,10060,España,nan,Gastos de explotación,nan,Millones de euros,51.3,60.0,0.0,0.35,0.19
2012-01-01,Otros,Datos generales,nan,0.0,522,2012,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0.0,0.0,119.19,0.0
2012-01-01,Otros,Datos generales,nan,0.0,2125,8048,España,nan,Gastos de explotación,nan,Millones de euros,14.94,50.0,0.0,1.69,1.62
2012-01-01,Otros,Datos generales,nan,0.0,514,2012,España,nan,Gastos de explotación,nan,Millones de euros,0.0,0.0,0.0,0.0,18.89
2012-01-01,Otros,Datos generales,nan,0.0,524,2012,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0.0,0.0,187.87,0.0
2012-01-01,Movistar,Datos generales,nan,0.0,2676,10060,España,nan,Gastos de explotación,nan,Millones de euros,15472.63,27370.0,0.0,1648.3,357.82
2012-01-01,Otros,Datos generales,nan,0.0,1049,4024,España,nan,Gastos de explotación,nan,Millones de euros,0.0,2776.0,0.0,0.0,29.67
2012-01-01,Orange,Datos generales,nan,0.0,2700,10060,España,nan,Gastos de explotación,nan,Millones de euros,4038.04,3962.0,0.0,479.87,69.07
2012-01-01,Otros,Datos generales,nan,0.0,1064,4024,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,6319.0,0.0,53.67,0.0
2012-01-01,Resto,Datos generales,nan,0.0,2705,10060,España,nan,Gastos de explotación,nan,Millones de euros,10378.599999999999,21340.0,0.0,966.48,149.29
2012-01-01,Otros,Datos generales,nan,0.0,537,2012,España,nan,Número de empleados,nan,Unidades,0.0,2049.0,0.0,0.0,0.0
2012-01-01,Vodafone,Datos generales,nan,0.0,2713,10060,España,nan,Gastos de explotación,nan,Millones de euros,5143.469999999999,4206.0,0.0,588.2,101.81
2012-01-01,Otros,Datos generales,nan,0.0,520,2012,España,nan,Gastos de explotación,nan,Millones de euros,0.0,0.0,0.0,0.0,15.16
2012-01-01,nan,Datos generales,Alquiler de circuitos,747.75,546,2012,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Banda Ancha móvil,2773.24,561,2012,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Banda ancha fija,3659.0,560,2012,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Banda ancha fija mayorista,593.29,547,2012,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Comunicaciones de Empresa,1511.71,562,2012,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Contenidos audiovisuales,157.49,548,2012,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Interconexión fija,1679.12,549,2012,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Interconexión móvil,2021.96,550,2012,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Otros servicios mayoristas,522.19,551,2012,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Otros servicios minoristas,1227.29,563,2012,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Servicios audiovisuales,3603.94,564,2012,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Servicios de información telefónica,51.29,565,2012,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Telefonía fija,4814.55,566,2012,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Telefonía móvil,9379.05,567,2012,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Transmisión de datos,51.17,552,2012,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Transporte y difusión de la señal audiovisual,394.5,553,2012,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,Venta y alquiler de terminales,1911.47,568,2012,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2012-01-01,nan,Datos generales,nan,0.0,2705,10060,España,nan,Paquetes,Resto,Unidades,0.0,0.0,10858315.0,0.0,0.0
2013-01-01,Otros,Datos generales,nan,0.0,582,2013,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0.0,0.0,0.01,0.0
2013-01-01,Otros,Datos generales,nan,0.0,573,2013,España,nan,Gastos de explotación,nan,Millones de euros,0.0,0.0,0.0,0.0,29.78
2013-01-01,Otros,Datos generales,nan,0.0,2972,10065,España,nan,Gastos de explotación,nan,Millones de euros,48.24,71.0,0.0,0.02,0.21
2013-01-01,Otros,Datos generales,nan,0.0,584,2013,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0.0,0.0,42.56,0.0
2013-01-01,Otros,Datos generales,nan,0.0,2372,8052,España,nan,Gastos de explotación,nan,Millones de euros,17.02,38.0,0.0,1.44,1.09
2013-01-01,Otros,Datos generales,nan,0.0,575,2013,España,nan,Gastos de explotación,nan,Millones de euros,0.0,0.0,0.0,0.0,22.71
2013-01-01,Otros,Datos generales,nan,0.0,586,2013,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0.0,0.0,177.89,0.0
2013-01-01,Movistar,Datos generales,nan,0.0,2985,10065,España,nan,Gastos de explotación,nan,Millones de euros,13534.5,26060.0,0.0,1502.67,269.25
2013-01-01,Otros,Datos generales,nan,0.0,1172,4026,España,nan,Gastos de explotación,nan,Millones de euros,0.0,2543.0,0.0,0.0,26.85
2013-01-01,Orange,Datos generales,nan,0.0,3009,10065,España,nan,Gastos de explotación,nan,Millones de euros,4049.4300000000003,3986.0,0.0,588.65,67.95
2013-01-01,Otros,Datos generales,nan,0.0,1188,4026,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,6325.0,0.0,49.4,0.0
2013-01-01,Resto,Datos generales,nan,0.0,3014,10065,España,nan,Gastos de explotación,nan,Millones de euros,10358.63,19495.0,0.0,1042.5,80.86
2013-01-01,Otros,Datos generales,nan,0.0,599,2013,España,nan,Número de empleados,nan,Unidades,0.0,2435.0,0.0,0.0,0.0
2013-01-01,Vodafone,Datos generales,nan,0.0,3022,10065,España,nan,Gastos de explotación,nan,Millones de euros,4541.37,3614.0,0.0,489.97,133.67
2013-01-01,Otros,Datos generales,nan,0.0,581,2013,España,nan,Gastos de explotación,nan,Millones de euros,0.0,0.0,0.0,0.0,14.44
2013-01-01,nan,Datos generales,Alquiler de circuitos,727.1,608,2013,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Banda Ancha móvil,3314.93,623,2013,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Banda ancha fija,3558.81,622,2013,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Banda ancha fija mayorista,653.82,609,2013,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Comunicaciones de Empresa,1450.35,624,2013,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Contenidos audiovisuales,201.94,610,2013,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Interconexión fija,1608.69,611,2013,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Interconexión móvil,1547.08,612,2013,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Otros servicios mayoristas,621.29,613,2013,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Otros servicios minoristas,1292.87,625,2013,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Servicios audiovisuales,3376.0,626,2013,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Servicios de información telefónica,40.58,627,2013,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Telefonía fija,4169.63,628,2013,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Telefonía móvil,7436.53,629,2013,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Transmisión de datos,57.9,614,2013,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Transporte y difusión de la señal audiovisual,374.48,615,2013,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,Venta y alquiler de terminales,2117.19,630,2013,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2013-01-01,nan,Datos generales,nan,0.0,3015,10065,España,nan,Paquetes,Resto,Unidades,0.0,0.0,11561838.0,0.0,0.0
2014-01-01,Otros,Datos generales,nan,0.0,644,2014,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0.0,0.0,2.15,0.0
2014-01-01,Otros,Datos generales,nan,0.0,635,2014,España,nan,Gastos de explotación,nan,Millones de euros,0.0,0.0,0.0,0.0,25.0
2014-01-01,Otros,Datos generales,nan,0.0,3282,10070,España,nan,Gastos de explotación,nan,Millones de euros,54.14,83.0,0.0,0.16,0.29
2014-01-01,Otros,Datos generales,nan,0.0,646,2014,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0.0,0.0,26.93,0.0
2014-01-01,Otros,Datos generales,nan,0.0,2620,8056,España,nan,Gastos de explotación,nan,Millones de euros,17.87,66.0,0.0,0.65,1.73
2014-01-01,Otros,Datos generales,nan,0.0,637,2014,España,nan,Gastos de explotación,nan,Millones de euros,0.0,0.0,0.0,0.0,23.58
2014-01-01,Otros,Datos generales,nan,0.0,648,2014,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0.0,0.0,188.37,0.0
2014-01-01,Movistar,Datos generales,nan,0.0,3295,10070,España,nan,Gastos de explotación,nan,Millones de euros,12474.830000000002,26230.0,0.0,1719.38,193.88
2014-01-01,Otros,Datos generales,nan,0.0,1296,4028,España,nan,Gastos de explotación,nan,Millones de euros,0.0,2425.0,0.0,0.0,28.27
2014-01-01,Orange,Datos generales,nan,0.0,3319,10070,España,nan,Gastos de explotación,nan,Millones de euros,3907.2,4008.0,0.0,587.77,56.31
2014-01-01,Otros,Datos generales,nan,0.0,1312,4028,España,nan,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,6302.0,0.0,25.78,0.0
2014-01-01,Resto,Datos generales,nan,0.0,3324,10070,España,nan,Gastos de explotación,nan,Millones de euros,10174.15,18503.0,0.0,1696.35,68.99
2014-01-01,Otros,Datos generales,nan,0.0,661,2014,España,nan,Número de empleados,nan,Unidades,0.0,2331.0,0.0,0.0,0.0
2014-01-01,Vodafone,Datos generales,nan,0.0,3332,10070,España,nan,Gastos de explotación,nan,Millones de euros,3980.6400000000003,3634.0,0.0,816.82,128.09
2014-01-01,Otros,Datos generales,nan,0.0,643,2014,España,nan,Gastos de explotación,nan,Millones de euros,0.0,0.0,0.0,0.0,12.44
2014-01-01,nan,Datos generales,Alquiler de circuitos,677.08,670,2014,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2014-01-01,nan,Datos generales,Banda Ancha móvil,3614.77,685,2014,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2014-01-01,nan,Datos generales,Banda ancha fija,3641.07,684,2014,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2014-01-01,nan,Datos generales,Banda ancha fija mayorista,699.22,671,2014,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2014-01-01,nan,Datos generales,Comunicaciones de Empresa,1437.57,686,2014,España,Servicio minorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2014-01-01,nan,Datos generales,Contenidos audiovisuales,280.76,672,2014,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
2014-01-01,nan,Datos generales,Interconexión fija,1474.42,673,2014,España,Servicio mayorista,Ingresos,nan,Millones de euros,0.0,0.0,0.0,0.0,0.0
